Date,Open,High,Low,Close,Adj Close,Volume
2024-03-19,25.450001,26.010000,25.450001,25.980000,25.980000,72900
2024-03-20,25.980000,26.590000,25.780001,26.580000,26.580000,163600
2024-03-21,26.900000,27.059999,26.709999,26.799999,26.799999,130800
2024-03-22,26.620001,26.620001,26.139999,26.350000,26.350000,100800
2024-03-25,26.330000,26.690001,26.320000,26.590000,26.590000,92800
2024-03-26,26.889999,27.110001,26.490000,26.559999,26.559999,94700
2024-03-27,26.559999,27.260000,26.559999,27.010000,27.010000,98300
2024-03-28,27.020000,27.290001,26.879999,27.040001,27.040001,77200
2024-04-01,27.040001,27.040001,26.360001,26.520000,26.520000,95000
2024-04-02,26.250000,26.459999,25.549999,25.580000,25.580000,80300
2024-04-03,25.440001,25.900000,25.420000,25.760000,25.760000,59000
2024-04-04,25.980000,26.049999,24.920000,24.990000,24.990000,92800
2024-04-05,24.850000,25.150000,24.660000,24.990000,24.990000,64500
2024-04-08,25.200001,25.660000,25.040001,25.500000,25.500000,70500
2024-04-09,25.500000,25.570000,25.110001,25.260000,25.260000,62900
2024-04-10,24.680000,24.730000,23.900000,24.190001,24.190001,96600
2024-04-11,24.400000,24.709999,24.250000,24.690001,24.690001,80900
2024-04-12,24.510000,24.660000,24.190001,24.240000,24.240000,49100
2024-04-15,24.440001,24.900000,23.980000,24.070000,24.070000,73700
2024-04-16,23.969999,23.969999,23.629999,23.740000,23.740000,61400
2024-04-17,23.850000,23.990000,23.309999,23.320000,23.320000,65300
2024-04-18,23.350000,23.690001,23.200001,23.570000,23.570000,87300
2024-04-19,23.490000,24.290001,23.490000,24.000000,24.000000,89900
2024-04-22,24.280001,25.040001,24.070000,24.930000,24.930000,118000
2024-04-23,24.750000,25.490000,24.750000,25.180000,25.180000,87600
2024-04-24,25.059999,25.620001,24.900000,25.420000,25.420000,116300
2024-04-25,24.900000,24.940001,24.549999,24.709999,24.709999,60000
2024-04-26,24.700001,25.059999,24.629999,24.920000,24.920000,155400
2024-04-29,25.049999,26.160000,25.049999,26.100000,26.100000,84100
2024-04-30,25.820000,26.120001,25.500000,25.580000,25.580000,135800
2024-05-01,25.660000,26.000000,25.420000,25.809999,25.809999,59000
2024-05-02,27.000000,28.180000,25.170000,25.650000,25.650000,245300
2024-05-03,26.129999,26.559999,25.490000,26.000000,26.000000,127945
